Dallas Mavericks,Utah Jazz,Home
New Orleans Hornets,New York Knicks,Visiting
Philadelphia 76ers,Los Angeles Clippers,Visiting
New Orleans Hornets,Washington Wizards,Home
Miami Heat,Sacramento Kings,Home
San Antonio Spurs,New Jersey Nets,Visiting
Seattle SuperSonics,Minnesota Timberwolves,Visiting
Dallas Mavericks,Los Angeles Lakers,Home
Milwaukee Bucks,Indiana Pacers,Home
Denver Nuggets,Houston Rockets,Home
Portland Trail Blazers,Golden State Warriors,Home
Chicago Bulls,Cleveland Cavaliers,Home
Toronto Raptors,Charlotte Bobcats,Home
Atlanta Hawks,Boston Celtics,Home
Philadelphia 76ers,Phoenix Suns,Visiting
New York Knicks,Orlando Magic,Home
San Antonio Spurs,Milwaukee Bucks,Visiting
Utah Jazz,Memphis Grizzlies,Visiting
Detroit Pistons,Los Angeles Clippers,Visiting
Indiana Pacers,Toronto Raptors,Visiting
Miami Heat,Seattle SuperSonics,Visiting
Los Angeles Lakers,Portland Trail Blazers,Home
Utah Jazz,New Orleans Hornets,Home
Memphis Grizzlies,Houston Rockets,Home
Philadelphia 76ers,Golden State Warriors,Home
Los Angeles Clippers,Denver Nuggets,Home
Sacramento Kings,Dallas Mavericks,Home
Minnesota Timberwolves,Cleveland Cavaliers,Home
Washington Wizards,Chicago Bulls,Visiting
Charlotte Bobcats,Boston Celtics,Home
New York Knicks,Atlanta Hawks,Home
Dallas Mavericks,San Antonio Spurs,Home
Milwaukee Bucks,New Jersey Nets,Home
Miami Heat,Los Angeles Lakers,Home
Detroit Pistons,Utah Jazz,Home
Minnesota Timberwolves,Toronto Raptors,Home
Denver Nuggets,Seattle SuperSonics,Visiting
Orlando Magic,Philadelphia 76ers,Home
Charlotte Bobcats,New York Knicks,Home
Phoenix Suns,New Orleans Hornets,Home
Portland Trail Blazers,Los Angeles Clippers,Visiting
Chicago Bulls,Indiana Pacers,Visiting
Cleveland Cavaliers,Boston Celtics,Home
Sacramento Kings,Atlanta Hawks,Home
Orlando Magic,New Jersey Nets,Visiting
Utah Jazz,Minnesota Timberwolves,Home
Cleveland Cavaliers,Milwaukee Bucks,Home
Sacramento Kings,Miami Heat,Home
Phoenix Suns,Memphis Grizzlies,Visiting
Portland Trail Blazers,Los Angeles Lakers,Home
Washington Wizards,Houston Rockets,Home
Seattle SuperSonics,Golden State Warriors,Home
Atlanta Hawks,San Antonio Spurs,Home
Washington Wizards,New Orleans Hornets,Visiting
Boston Celtics,Los Angeles Clippers,Visiting
Toronto Raptors,Indiana Pacers,Visiting
Detroit Pistons,Denver Nuggets,Visiting
Chicago Bulls,Dallas Mavericks,Home
New York Knicks,Toronto Raptors,Home
Los Angeles Lakers,Seattle SuperSonics,Visiting
Boston Celtics,Portland Trail Blazers,Visiting
Detroit Pistons,Phoenix Suns,Visiting
Sacramento Kings,Orlando Magic,Home
Dallas Mavericks,Minnesota Timberwolves,Visiting
Chicago Bulls,Houston Rockets,Home
Memphis Grizzlies,Cleveland Cavaliers,Home
Charlotte Bobcats,Washington Wizards,Home
Atlanta Hawks,Utah Jazz,Home
New Orleans Hornets,San Antonio Spurs,Home
Indiana Pacers,New Jersey Nets,Home
Denver Nuggets,Milwaukee Bucks,Home
Philadelphia 76ers,Miami Heat,Visiting
Los Angeles Lakers,Los Angeles Clippers,Visiting
Portland Trail Blazers,Seattle SuperSonics,Home
Boston Celtics,Phoenix Suns,Home
Philadelphia 76ers,Orlando Magic,Home
Toronto Raptors,New York Knicks,Home
Houston Rockets,New Orleans Hornets,Visiting
Dallas Mavericks,Memphis Grizzlies,Visiting
Utah Jazz,Los Angeles Clippers,Home
New Jersey Nets,Indiana Pacers,Home
Atlanta Hawks,Golden State Warriors,Visiting
Milwaukee Bucks,Detroit Pistons,Home
Washington Wizards,Cleveland Cavaliers,Home
Denver Nuggets,Chicago Bulls,Home
Sacramento Kings,Charlotte Bobcats,Visiting
Seattle SuperSonics,Portland Trail Blazers,Home
San Antonio Spurs,Minnesota Timberwolves,Visiting
Miami Heat,Houston Rockets,Home
Orlando Magic,Toronto Raptors,Home
Atlanta Hawks,Sacramento Kings,Home
Los Angeles Lakers,Phoenix Suns,Visiting
New York Knicks,Philadelphia 76ers,Home
Dallas Mavericks,New Orleans Hornets,Home
Chicago Bulls,New Jersey Nets,Home
Detroit Pistons,Milwaukee Bucks,Home
Memphis Grizzlies,Los Angeles Clippers,Home
Cleveland Cavaliers,Indiana Pacers,Visiting
Boston Celtics,Golden State Warriors,Home
New York Knicks,Washington Wizards,Visiting
