Houston Rockets,Los Angeles Lakers,Visiting
Brooklyn Nets,Indiana Pacers,Home
Phoenix Suns,Denver Nuggets,Visiting
Minnesota Timberwolves,Dallas Mavericks,Home
Detroit Pistons,Chicago Bulls,Visiting
Golden State Warriors,Utah Jazz,Visiting
Boston Celtics,Toronto Raptors,Home
Charlotte Hornets,Orlando Magic,Home
Sacramento Kings,New Orleans Pelicans,Home
Cleveland Cavaliers,Minnesota Timberwolves,Home
Indiana Pacers,Milwaukee Bucks,Home
Atlanta Hawks,Memphis Grizzlies,Home
Oklahoma City Thunder,Los Angeles Clippers,Visiting
New York Knicks,Brooklyn Nets,Home
Miami Heat,Washington Wizards,Visiting
Los Angeles Lakers,Portland Trail Blazers,Home
Chicago Bulls,Philadelphia 76ers,Home
Cleveland Cavaliers,Toronto Raptors,Home
Minnesota Timberwolves,San Antonio Spurs,Home
Utah Jazz,Sacramento Kings,Visiting
Dallas Mavericks,Phoenix Suns,Home
Miami Heat,Orlando Magic,Home
Atlanta Hawks,New York Knicks,Home
Denver Nuggets,Los Angeles Clippers,Home
Memphis Grizzlies,Indiana Pacers,Visiting
New Orleans Pelicans,Houston Rockets,Visiting
Brooklyn Nets,Detroit Pistons,Home
Milwaukee Bucks,Charlotte Hornets,Visiting
Oklahoma City Thunder,Golden State Warriors,Home
Philadelphia 76ers,Boston Celtics,Visiting
